Country,GDP per capita,average Internet connexion speed,alchool consumption per capita,homocide rate,Military % of GDP,HDI,Democracy index,Equivalent to a 2-year degree or higher (%),Importance of religion,% Christian,Muslim percentage of total population,Buddhist population,Jewish population,"2019 mortality rate, under-5 (per 1000 live births)",Age of crime responsibility,minimum wage,external debt,income equality,total health expenditure,suicide rate,Fertility rate,tabacco consumption,Obesity rate,number of internet users,Median age,economic freedom,Oil production per capita,population growth rate,Life expectancy at birth,meat consumption (Kg per capita),incarceration rate per 10000,literacy rate,Women's age first marriage,Expenditure on education(% of GDP),"Homelessper 10,000",Milk consumption 2013 (kg/capita/yr),Papers per capita in ppm (2018),books published,kilocalories,"Average yearly temperature (1961-1990, Celsius)"
Timor-Leste,,,,,,,7.06,,,,,,,,16,1380,12,,,,,,3.8,,,44.2,,,,41.3,,,,3.8,,,11.04,,2020,25.25
Togo,899,,3.1,,,0.52,2.8,,0.8,0.29,20,0,,66.9,,717,26,43.1,109,14.8,4.26,12.2,8.4,0.12,20,50.3,,2.45,64.3,8.5,67,20.4,22.3,5,211,7.96,10.9,,2150,27.15
Tokelau,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,4865,,1.5,,,0.73,,,,0.81,0.1,0,,16.6,,,54,,355,4.4,3.52,33.3,48.2,0.43,24.1,57.7,,0.86,72.6,,166,98.9,23.6,3.9,,,45.21,,,25.25
Trinidad and Tobago,16637,79.89,8.4,30.6,,0.8,7.16,,0.92,0.58,5.8,0,,17.5,,4619,76,40.3,2100,8.3,1.71,,18.6,0.76,37.8,57,44054,0.26,76.1,57.8,292,82.8,29.2,3.1,,103.8,151.82,,2700,25.75
Tunisia,3318,,1.9,3.1,,0.74,6.59,,0.93,0,99.8,0,0.01,16.9,13,1902,97,32.8,912,3.2,2.17,39.7,26.9,0.55,32.7,55.4,4275,1.09,77,25.5,194,39.8,28.7,6.6,,114.47,481.19,720,3330,19.2
Turkey,9127,,2,2.6,,0.82,4.48,28,0.82,0,89.5,0,0.09,10,12,7288,63,41.9,1171,2.3,2.06,35.4,32.01,0.75,32.2,64.6,622,1.37,78.6,19.3,335,88.1,24.8,4.4,8.5,193.94,407.29,75667,3500,9.9
Turkmenistan,8124,,5.4,4.2,,0.72,1.72,,0.8,0.09,93.7,0,0,42,14,1834,1,40.8,1275,6.1,2.74,,18.6,0.21,29.2,48.4,42549,1.61,69.7,41.7,552,97.6,23.3,3,,137.09,0.68,450,2740,15.1
Turks and Caicos Islands,31353,,,5.7,,,,,,,0.1,,,,,,,,,,,,,,34.6,,,,,,,,,,,,,,,
Tuvalu,4036,,1.7,,,,,,,,0.1,0,,23.9,,,,,758,,,61.8,51.6,0.48,26.6,,,0.88,,,110,,22.1,3.7,,,86.9,,,28
U.S. Virgin Islands,,,,49.3,,,,,,,0.1,,0,,,,,,,,2.05,,,0.65,,,,,,,394,,,,,,,,,
Uganda,737,,9.5,10.5,,0.54,4.94,,0.93,0.89,14,0,,45.8,12,417,24,42.8,139,10.4,4.82,25.2,5.3,0.24,15.7,59.7,,3.23,66.7,11.7,124,36.1,18.2,2.6,143,37.27,15.75,288,2220,22.8
Ukraine,3496,67.52,8.6,6.2,,0.78,5.81,,0.46,0.82,1.7,0,0.3,8.4,14,3018,81,26.1,683,17.7,1.23,38.8,24.1,0.67,41.2,52.3,720,-0.49,73,32.3,148,100,25,5.4,168,145.03,234.6,24416,3290,8.3
United Arab Emirates,43103,151.09,3.8,0.5,,0.89,2.7,,0.91,0.09,76,0.02,,7.5,7,,59,32.5,3173,5.2,1.39,21.8,31.7,0.93,38.4,77.1,335103,1.39,76.1,74.4,104,42.1,25.3,1.3,,132.66,326.55,293,3170,27
United Kingdom,41855,92.63,11.4,1.2,2.2,0.93,8.54,49,0.27,0.59,6.3,0,1.8,4.3,11,23656,345,34.8,4620,6.9,1.65,,27.8,0.97,40.6,78.9,14284,0.58,81.4,79.6,,,31.5,5.5,57.2,232.2,1454.85,188000,3450,8.45
United Republic of Tanzania,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,
United States,65134,191.97,9.8,5,3.7,0.93,7.92,47,0.69,0.69,1.1,0.01,36,6.5,,15080,102,41.4,10624,14.5,1.71,32.3,36.2,0.96,38.5,76.8,35922,0.71,78.4,124.8,639,,28,5,17.7,254.69,1292.61,275232,3800,8.55
Uruguay,16190,53.88,10.8,12.1,,0.82,8.61,,0.41,0.58,0.1,0,0.11,7.1,13,6103,50,39.7,2169,18.8,1.96,39,27.9,0.68,35.5,68.6,,0.36,77.1,98.6,337,97.1,24,4.9,,210.54,247.01,3231,2840,17.55
US Virgin Islands,,,,,,,,,,,,0,,,,,,,,,,,,,41.8,,,,,,,,,,,,,,,
Uzbekistan,1756,39.2,2.7,1.1,,0.72,2.12,,0.59,0.03,88.7,0,0.02,17.4,13,862,24,35.3,459,8.3,2.79,16.1,16.6,0.51,30.1,53.3,1682,1.41,73,20.7,68,99.8,22.4,6.3,,130.81,10.9,1003,2560,12.05
Vanuatu,3023,,1,,,0.61,,,,,0.1,0,,25.9,10,3095,27,,109,21,3.77,32.1,25.2,0.24,23,56.4,,2.1,65.3,32.6,72,44.2,20.8,4.7,,25.21,20.5,,2950,23.95
Vatican City,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,228,,
Venezuela,4733,,5.6,36.7,,0.71,2.76,,0.79,0.88,0.4,0,0.04,24.2,,10.32,23,46.9,384,2.1,2.25,,25.6,0.71,30,25.9,18821,1.26,73.9,56.6,134,88.1,22.7,3.6,,117.79,22.12,2275,2650,25.35
Vietnam,2715,66.38,8.3,1.5,,0.7,2.94,,0.3,0.08,0.1,0.16,,19.9,14,1437,26,35.7,440,7.2,2.05,,2.1,0.71,31.9,55.3,3194,1,73.7,28.6,128,76.9,22.8,4.3,16.6,16.36,44.86,24589,2780,24.45
Wallis and Futuna,,,,,,,,,,,0.1,,,,,,6,,,,,,,0.12,34,,,,,,,,,,,,,,,
Western Pacific,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,77.7,,,,,,,,,,,
Western Sahara,,,,,,,,,,,99.4,,,,,,,,,,,41.3,,,21.5,,,2.54,,,,,,,,,,,,
Yemen,855,,0.1,6.8,,0.47,1.95,,0.99,0,99.2,0,,58.4,7,,21,36.7,,7.1,3.7,30.9,17.1,0.27,19.8,,797,2.33,66.6,14.7,53,13.7,23,5.2,1294,43.97,4.81,,2050,23.85
Zambia,1292,,4.8,5.4,,0.58,4.86,,0.95,0.96,1,0,,61.7,8,925,45,57.1,208,14.4,4.56,19.9,8.1,0.27,16.9,53.6,,2.97,62.5,11.9,123,52.3,18.7,1.3,,9.71,12.28,,1880,21.4
Zimbabwe,1464,,4.8,7.5,,0.57,3.16,,0.88,0.87,0.7,0,0,54.6,7,,77,44.3,198,23.6,3.53,18.3,15.5,0.31,20.5,40.4,,2.28,60.7,15.2,127,81.1,19.9,6.1,848,31.9,24.86,232,2210,21
